id,date,pn,latitude,longtitude,ts_url
2903669,2021-07-13 12:42:48,41,47.539,162.503,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903669&cycle_number=041&dir_list=jma&mode=R
2903672,2021-07-11 12:20:46,40,37.151,143.408,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903672&cycle_number=040&dir_list=jma&mode=R
2903673,2021-07-22 06:10:10,37,31.985,133.557,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903673&cycle_number=037&dir_list=jma&mode=R
2903674,2021-07-23 06:16:03,37,23.256,136.959,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903674&cycle_number=037&dir_list=jma&mode=R
2903675,2021-07-24 05:38:58,37,25.891,136.774,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903675&cycle_number=037&dir_list=jma&mode=R
2903676,2021-07-23 05:44:53,33,26.192,144.832,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903676&cycle_number=033&dir_list=jma&mode=R
2903677,2021-07-25 05:54:00,33,33.053,147.191,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903677&cycle_number=033&dir_list=jma&mode=R
2903678,2021-07-25 05:54:44,27,31.028,145.897,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903678&cycle_number=027&dir_list=jma&mode=R
2903679,2021-07-21 05:23:58,26,32.142,143.519,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903679&cycle_number=026&dir_list=jma&mode=R
2903680,2021-07-24 05:56:34,20,26.435,143.266,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903680&cycle_number=020&dir_list=jma&mode=R
2903681,2021-07-23 06:23:59,17,41.391,143.189,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903681&cycle_number=017&dir_list=jma&mode=R
2903682,2021-07-23 05:52:13,17,34.357,146.544,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903682&cycle_number=017&dir_list=jma&mode=R
2903683,2021-07-24 05:44:06,17,40.323,143.535,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903683&cycle_number=017&dir_list=jma&mode=R
2903685,2021-07-22 05:56:29,12,39.324,150.671,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903685&cycle_number=012&dir_list=jma&mode=R
4901433,2021-07-17 15:14:08,336,26.126,168.989,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=4901433&cycle_number=336&dir_list=aoml&mode=R
4901493,2021-07-16 14:43:22,323,21.062,154.590,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=4901493&cycle_number=323&dir_list=aoml&mode=R
4902305,2021-07-18 11:51:53,184,45.588,162.908,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=4902305&cycle_number=184&dir_list=aoml&mode=R
4902306,2021-07-25 10:28:09,185,49.746,164.181,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=4902306&cycle_number=185&dir_list=aoml&mode=R
4902982,2021-07-13 23:30:02,76,39.019,159.205,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=4902982&cycle_number=076&dir_list=jma&mode=R
4903291,2021-07-22 12:09:42,38,45.318,161.588,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=4903291&cycle_number=038&dir_list=aoml&mode=R
4903292,2021-07-21 11:59:01,34,20.636,153.986,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=4903292&cycle_number=034&dir_list=aoml&mode=R
4903300,2021-07-21 09:05:47,38,48.461,167.979,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=4903300&cycle_number=038&dir_list=aoml&mode=R
5903805,2021-07-22 19:45:48,327,25.043,162.499,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5903805&cycle_number=327&dir_list=aoml&mode=R
5903808,2021-07-18 12:05:42,326,23.352,126.698,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5903808&cycle_number=326&dir_list=aoml&mode=R
